# File: A_agTradedSector.csv
# Title: Supplysector assumptions for traded agricultural markets (including logit exponent for subsector competition)
# Units: Various
# Comments: These sectors compete different regions in supplying the pool of globally traded crops (source: GTAP)
# Source: NA
# Column types: ccccinc
# ----------
supplysector,output.unit,input.unit,price.unit,traded,logit.exponent,logit.type
traded corn,Mt,Mt,$/kg,1,-2.6,
traded fibercrop,Mt,Mt,$/kg,1,-5,
traded fruits,Mt,Mt,$/kg,1,-6,
traded legumes,Mt,Mt,$/kg,1,-6,
traded misccrop,Mt,Mt,$/kg,1,-4.81,
traded nuts_seeds,Mt,Mt,$/kg,1,-6,
traded oilcrop,Mt,Mt,$/kg,1,-5.97,
traded othergrain,Mt,Mt,$/kg,1,-2.6,
traded oilpalm,Mt,Mt,$/kg,1,-5.97,
traded rice,Mt,Mt,$/kg,1,-5.79,
traded root_tuber,Mt,Mt,$/kg,1,-4.81,
traded soybean,Mt,Mt,$/kg,1,-6,
traded sugarcrop,Mt,Mt,$/kg,1,-5.4,
traded vegetables,Mt,Mt,$/kg,1,-6,
traded wheat,Mt,Mt,$/kg,1,-8.9,
traded beef,Mt,Mt,$/kg,1,-7.7,
traded dairy,Mt,Mt,$/kg,1,-7.3,
traded pork,Mt,Mt,$/kg,1,-8.8,
traded poultry,Mt,Mt,$/kg,1,-8.8,
traded sheepgoat,Mt,Mt,$/kg,1,-7.7,
traded forest,billion m3,billion m3,$/m3,1,-5,
