# File: CCS_provincial_data.csv
# Title: CO2 and Cost(2005USD) by province
# Units: CO2-Mt,Cost-2005USD per t CO2
# Description: Provincial CO2 and Cost(2005USD)
# Source: PNNL's research based on Dahowski et al. (2010, 2017)
# Column types: ccnn
# ----------
province.name,ID,CO2_Mt,Cost_2005USDtCO2
Anhui,Anhui_EOR_001,22.7,-65.63
Anhui,Anhui_EOR_002,6.3,-29.3
Anhui,Anhui_EOR_003,11.1,-13.49
Anhui,Anhui_EOR_004,8.2,-10.95
Anhui,Anhui_EOR_005,3.1,0.86
Anhui,Anhui_DSF_001,1194.2,1.26
Anhui,Anhui_DSF_002,1050.4,1.33
Anhui,Anhui_DSF_003,804.2,1.39
Anhui,Anhui_DSF_004,739.8,1.39
Anhui,Anhui_DSF_005,537.8,1.51
Anhui,Anhui_DSF_006,469.1,1.68
Anhui,Anhui_DSF_007,952,1.96
Anhui,Anhui_ECBM_001,18.9,2.03
Anhui,Anhui_DSF_008,217.8,2.04
Anhui,Anhui_ECBM_002,46.8,2.06
Anhui,Anhui_DSF_009,167.5,2.15
Anhui,Anhui_DSF_010,167.5,2.15
Anhui,Anhui_DSF_011,569.6,2.3
Anhui,Anhui_DSF_012,823,2.35
Anhui,Anhui_DSF_013,90.6,2.5
Anhui,Anhui_DSF_014,569.6,2.52
Anhui,Anhui_DSF_015,187.2,2.74
Anhui,Anhui_DSF_016,402.1,2.86
Anhui,Anhui_DSF_017,75.5,2.88
Anhui,Anhui_DSF_018,402.1,2.88
Anhui,Anhui_DSF_019,396.7,2.96
Anhui,Anhui_ECBM_003,11.3,3.19
Anhui,Anhui_DSF_020,82.3,3.2
Anhui,Anhui_DSF_021,67,3.41
Anhui,Anhui_DSF_022,45.3,3.88
Anhui,Anhui_DSF_023,107.1,4.26
Anhui,Anhui_DSF_024,53.6,4.57
Anhui,Anhui_DSF_025,78,4.59
Anhui,Anhui_DSF_026,39,4.62
Anhui,Anhui_DSF_027,83.8,4.67
Anhui,Anhui_DSF_028,123,4.69
Anhui,Anhui_DSF_029,44.3,4.89
Anhui,Anhui_DSF_030,70.2,4.95
Anhui,Anhui_DSF_031,35.1,5.02
Anhui,Anhui_DSF_032,32.7,5.03
Anhui,Anhui_DSF_033,123,5.27
Anhui,Anhui_DSF_034,59.3,5.43
Anhui,Anhui_DSF_035,31.2,5.51
Anhui,Anhui_DSF_036,94.4,5.76
Anhui,Anhui_DSF_037,95.4,5.78
Anhui,Anhui_DSF_038,54.6,5.79
Anhui,Anhui_DSF_039,78,6.19
Anhui,Anhui_DSF_040,50.7,6.25
Anhui,Anhui_DSF_041,49.2,6.39
Anhui,Anhui_DSF_042,25.3,6.53
Anhui,Anhui_DSF_043,25,6.6
Anhui,Anhui_DSF_044,45.8,6.65
Anhui,Anhui_DSF_045,25.2,6.78
Anhui,Anhui_DSF_046,24.1,6.78
Anhui,Anhui_DSF_047,67,7.02
Anhui,Anhui_DSF_048,39,7.59
Anhui,Anhui_DSF_049,18.9,8.29
Anhui,Anhui_DSF_050,46.8,8.75
Anhui,Anhui_DSF_051,46.8,8.9
Anhui,Anhui_DSF_052,23.4,9.62
Anhui,Anhui_DSF_053,12.6,9.65
Anhui,Anhui_DSF_054,15.6,9.72
Anhui,Anhui_DSF_055,15.6,10.46
Anhui,Anhui_DSF_056,18.3,11.04
Anhui,Anhui_DSF_057,15.6,11.6
Anhui,Anhui_DSF_058,15.6,11.63
Anhui,Anhui_DSF_059,12.5,11.74
Anhui,Anhui_DSF_060,16.8,12.25
Anhui,Anhui_DSF_061,15.6,12.44
Anhui,Anhui_DSF_062,13.7,13.2
Anhui,Anhui_DSF_063,15.6,13.46
Anhui,Anhui_DSF_064,11.7,13.64
Anhui,Anhui_DSF_065,11.7,13.9
Anhui,Anhui_DSF_066,21.4,14
Anhui,Anhui_DSF_067,15.6,14.62
Anhui,Anhui_DSF_068,15.6,14.62
Anhui,Anhui_DSF_069,15.6,14.62
Anhui,Anhui_DSF_070,10.5,14.89
Anhui,Anhui_DSF_071,12.5,14.91
Anhui,Anhui_DSF_072,9.4,15.23
Anhui,Anhui_DSF_073,11,16.67
Anhui,Anhui_DSF_074,11.7,17.22
Anhui,Anhui_DSF_075,15.6,18.14
Anhui,Anhui_DSF_076,15.6,18.14
Anhui,Anhui_DSF_077,9.4,18.92
Anhui,Anhui_DSF_078,14.2,19.47
Anhui,Anhui_DSF_079,23.4,19.86
Anhui,Anhui_DSF_080,9.4,23.09
