# File: FUT_EMISS_GV.csv,,,,,
# Title: add,,,,,
# Units: unknown,,,,,
# Comments: NA,,,,,
# Source:  unknown,,,,,
Species,Year,Emissions,Scenario,GDP,EF
HFC-245fa,2060,102.8316,SSP2,278748.8053,0.000368904
HFC-245fa,2070,123.3004,SSP2,334922.4751,0.000368146
HFC-245fa,2080,145.165,SSP2,396503.0425,0.000366113
HFC-245fa,2090,169.1132,SSP2,463805.6115,0.000364621
HFC-245fa,2100,193.4792,SSP2,537072.6922,0.000360248
HFC-365mfc,2005,2.7012,SSP2,56713.85939,4.76E-05
HFC-365mfc,2010,2.764,SSP2,66937.02343,4.13E-05
HFC-365mfc,2020,9.7458,SSP2,100352.5256,9.71E-05
HFC-365mfc,2030,28.0742,SSP2,141877.6769,0.000197876
HFC-365mfc,2040,48.1861,SSP2,184488.1378,0.000261188
HFC-365mfc,2050,66.1607,SSP2,229642.0627,0.000288104
HFC-365mfc,2060,83.8313,SSP2,278748.8053,0.000300741
HFC-365mfc,2070,103.0429,SSP2,334922.4751,0.000307662
HFC-365mfc,2080,123.9205,SSP2,396503.0425,0.000312534
HFC-365mfc,2090,147.15,SSP2,463805.6115,0.000317267
HFC-365mfc,2100,171.034,SSP2,537072.6922,0.000318456
HFC-43-10mee,2005,0.6061,SSP2,56713.85939,1.07E-05
HFC-43-10mee,2010,0.8539,SSP2,66937.02343,1.28E-05
HFC-43-10mee,2020,0.9758,SSP2,100352.5256,9.72E-06
HFC-43-10mee,2030,1.0273,SSP2,141877.6769,7.24E-06
HFC-43-10mee,2040,1.0711,SSP2,184488.1378,5.81E-06
HFC-43-10mee,2050,1.1072,SSP2,229642.0627,4.82E-06
HFC-43-10mee,2060,1.1392,SSP2,278748.8053,4.09E-06
HFC-43-10mee,2070,1.1646,SSP2,334922.4751,3.48E-06
HFC-43-10mee,2080,1.1801,SSP2,396503.0425,2.98E-06
HFC-43-10mee,2090,1.1848,SSP2,463805.6115,2.55E-06
HFC-43-10mee,2100,1.1793,SSP2,537072.6922,2.20E-06
Alt_A,2005,0,SSP2,56713.85939,0
Alt_A,2010,0,SSP2,66937.02343,0
Alt_A,2020,27.4626,SSP2,100352.5256,0.000273661
Alt_A,2030,104.7815,SSP2,141877.6769,0.000738534
Alt_A,2040,187.7844,SSP2,184488.1378,0.001017867
Alt_A,2050,258.8299,SSP2,229642.0627,0.001127101
Alt_A,2060,328.4457,SSP2,278748.8053,0.001178286
Alt_A,2070,404.757,SSP2,334922.4751,0.00120851
Alt_A,2080,489.875,SSP2,396503.0425,0.001235489
Alt_A,2090,583.0245,SSP2,463805.6115,0.001257045
Alt_A,2100,675.9627,SSP2,537072.6922,0.001258606
Alt_B,2005,0,SSP2,56713.85939,0
Alt_B,2010,0,SSP2,66937.02343,0
Alt_B,2020,0,SSP2,100352.5256,0
Alt_B,2030,0,SSP2,141877.6769,0
Alt_B,2040,0,SSP2,184488.1378,0
Alt_B,2050,0,SSP2,229642.0627,0
Alt_B,2060,0,SSP2,278748.8053,0
Alt_B,2070,0,SSP2,334922.4751,0
Alt_B,2080,0,SSP2,396503.0425,0
Alt_B,2090,0,SSP2,463805.6115,0
Alt_B,2100,0,SSP2,537072.6922,0
Alt_C,2005,0,SSP2,56713.85939,0
Alt_C,2010,0,SSP2,66937.02343,0
Alt_C,2020,0,SSP2,100352.5256,0
Alt_C,2030,0,SSP2,141877.6769,0
Alt_C,2040,0,SSP2,184488.1378,0
Alt_C,2050,0,SSP2,229642.0627,0
Alt_C,2060,0,SSP2,278748.8053,0
Alt_C,2070,0,SSP2,334922.4751,0
Alt_C,2080,0,SSP2,396503.0425,0
Alt_C,2090,0,SSP2,463805.6115,0
Alt_C,2100,0,SSP2,537072.6922,0
Alt_D,2005,0,SSP2,56713.85939,0
Alt_D,2010,0,SSP2,66937.02343,0
Alt_D,2020,0,SSP2,100352.5256,0
Alt_D,2030,0,SSP2,141877.6769,0
Alt_D,2040,0,SSP2,184488.1378,0
Alt_D,2050,0,SSP2,229642.0627,0
Alt_D,2060,0,SSP2,278748.8053,0
Alt_D,2070,0,SSP2,334922.4751,0
Alt_D,2080,0,SSP2,396503.0425,0
Alt_D,2090,0,SSP2,463805.6115,0
Alt_D,2100,0,SSP2,537072.6922,0
Alt_E,2005,0,SSP2,56713.85939,0
Alt_E,2010,0,SSP2,66937.02343,0
Alt_E,2020,0,SSP2,100352.5256,0
Alt_E,2030,0,SSP2,141877.6769,0
Alt_E,2040,0,SSP2,184488.1378,0
Alt_E,2050,0,SSP2,229642.0627,0
Alt_E,2060,0,SSP2,278748.8053,0
Alt_E,2070,0,SSP2,334922.4751,0
Alt_E,2080,0,SSP2,396503.0425,0
Alt_E,2090,0,SSP2,463805.6115,0
Alt_E,2100,0,SSP2,537072.6922,0
