#INPUT_TABLE
#Variable ID
#Supplysector
#
region,energy.final.demand,year,income.elasticity
USA,industry,2015,0.238
Africa_Eastern,industry,2015,1.301
Africa_Northern,industry,2015,0.885
Africa_Southern,industry,2015,1.226
Africa_Western,industry,2015,1.366
Australia_NZ,industry,2015,0.193
Brazil,industry,2015,0.671
Canada,industry,2015,0.054
Central America and Caribbean,industry,2015,0.763
Central Asia,industry,2015,0.372
China,industry,2015,0.448
EU-12,industry,2015,0.527
EU-15,industry,2015,0.334
Europe_Eastern,industry,2015,0.267
Europe_Non_EU,industry,2015,0.569
European Free Trade Association,industry,2015,0.239
India,industry,2015,1.102
Indonesia,industry,2015,0.967
Japan,industry,2015,0.253
Mexico,industry,2015,0.703
Middle East,industry,2015,0.327
Pakistan,industry,2015,1.128
Russia,industry,2015,0.159
South Africa,industry,2015,0.424
South America_Northern,industry,2015,0.448
South America_Southern,industry,2015,0.815
South Asia,industry,2015,1.3
South Korea,industry,2015,0.16
Southeast Asia,industry,2015,0.819
Taiwan,industry,2015,0.116
Argentina,industry,2015,0.505
Colombia,industry,2015,0.989
USA,industry,2020,0.237
Africa_Eastern,industry,2020,1.267
Africa_Northern,industry,2020,0.852
Africa_Southern,industry,2020,1.192
Africa_Western,industry,2020,1.345
Australia_NZ,industry,2020,0.189
Brazil,industry,2020,0.632
Canada,industry,2020,0.05
Central America and Caribbean,industry,2020,0.735
Central Asia,industry,2020,0.333
China,industry,2020,0.347
EU-12,industry,2020,0.467
EU-15,industry,2020,0.328
Europe_Eastern,industry,2020,0.257
Europe_Non_EU,industry,2020,0.507
European Free Trade Association,industry,2020,0.237
India,industry,2020,0.991
Indonesia,industry,2020,0.846
Japan,industry,2020,0.252
Mexico,industry,2020,0.682
Middle East,industry,2020,0.315
Pakistan,industry,2020,1.072
Russia,industry,2020,0.151
South Africa,industry,2020,0.395
South America_Northern,industry,2020,0.436
South America_Southern,industry,2020,0.772
South Asia,industry,2020,1.215
South Korea,industry,2020,0.156
Southeast Asia,industry,2020,0.748
Taiwan,industry,2020,0.107
Argentina,industry,2020,0.469
Colombia,industry,2020,0.945
USA,industry,2025,0.235
Africa_Eastern,industry,2025,1.233
Africa_Northern,industry,2025,0.82
Africa_Southern,industry,2025,1.171
Africa_Western,industry,2025,1.317
Australia_NZ,industry,2025,0.186
Brazil,industry,2025,0.6
Canada,industry,2025,0.047
Central America and Caribbean,industry,2025,0.701
Central Asia,industry,2025,0.31
China,industry,2025,0.318
EU-12,industry,2025,0.42
EU-15,industry,2025,0.321
Europe_Eastern,industry,2025,0.253
Europe_Non_EU,industry,2025,0.455
European Free Trade Association,industry,2025,0.236
India,industry,2025,0.881
Indonesia,industry,2025,0.747
Japan,industry,2025,0.25
Mexico,industry,2025,0.657
Middle East,industry,2025,0.305
Pakistan,industry,2025,0.992
Russia,industry,2025,0.144
South Africa,industry,2025,0.371
South America_Northern,industry,2025,0.414
South America_Southern,industry,2025,0.73
South Asia,industry,2025,1.114
South Korea,industry,2025,0.153
Southeast Asia,industry,2025,0.676
Taiwan,industry,2025,0.102
Argentina,industry,2025,0.435
Colombia,industry,2025,0.915
USA,industry,2030,0.234
Africa_Eastern,industry,2030,1.193
Africa_Northern,industry,2030,0.79
Africa_Southern,industry,2030,1.153
Africa_Western,industry,2030,1.286
Australia_NZ,industry,2030,0.183
Brazil,industry,2030,0.571
Canada,industry,2030,0.045
Central America and Caribbean,industry,2030,0.663
Central Asia,industry,2030,0.29
China,industry,2030,0.291
EU-12,industry,2030,0.373
EU-15,industry,2030,0.314
Europe_Eastern,industry,2030,0.249
Europe_Non_EU,industry,2030,0.411
European Free Trade Association,industry,2030,0.234
India,industry,2030,0.807
Indonesia,industry,2030,0.651
Japan,industry,2030,0.249
Mexico,industry,2030,0.629
Middle East,industry,2030,0.295
Pakistan,industry,2030,0.894
Russia,industry,2030,0.137
South Africa,industry,2030,0.355
South America_Northern,industry,2030,0.388
South America_Southern,industry,2030,0.69
South Asia,industry,2030,1.014
South Korea,industry,2030,0.149
Southeast Asia,industry,2030,0.602
Taiwan,industry,2030,0.093
Argentina,industry,2030,0.401
Colombia,industry,2030,0.885
USA,industry,2035,0.232
Africa_Eastern,industry,2035,1.147
Africa_Northern,industry,2035,0.764
Africa_Southern,industry,2035,1.133
Africa_Western,industry,2035,1.251
Australia_NZ,industry,2035,0.18
Brazil,industry,2035,0.547
Canada,industry,2035,0.042
Central America and Caribbean,industry,2035,0.625
Central Asia,industry,2035,0.273
China,industry,2035,0.267
EU-12,industry,2035,0.344
EU-15,industry,2035,0.309
Europe_Eastern,industry,2035,0.245
Europe_Non_EU,industry,2035,0.376
European Free Trade Association,industry,2035,0.233
India,industry,2035,0.728
Indonesia,industry,2035,0.559
Japan,industry,2035,0.248
Mexico,industry,2035,0.601
Middle East,industry,2035,0.286
Pakistan,industry,2035,0.829
Russia,industry,2035,0.131
South Africa,industry,2035,0.347
South America_Northern,industry,2035,0.364
South America_Southern,industry,2035,0.654
South Asia,industry,2035,0.907
South Korea,industry,2035,0.145
Southeast Asia,industry,2035,0.528
Taiwan,industry,2035,0.083
Argentina,industry,2035,0.373
Colombia,industry,2035,0.86
USA,industry,2040,0.231
Africa_Eastern,industry,2040,1.091
Africa_Northern,industry,2040,0.737
Africa_Southern,industry,2040,1.102
Africa_Western,industry,2040,1.208
Australia_NZ,industry,2040,0.176
Brazil,industry,2040,0.519
Canada,industry,2040,0.039
Central America and Caribbean,industry,2040,0.58
Central Asia,industry,2040,0.259
China,industry,2040,0.257
EU-12,industry,2040,0.327
EU-15,industry,2040,0.302
Europe_Eastern,industry,2040,0.24
Europe_Non_EU,industry,2040,0.347
European Free Trade Association,industry,2040,0.232
India,industry,2040,0.647
Indonesia,industry,2040,0.474
Japan,industry,2040,0.246
Mexico,industry,2040,0.567
Middle East,industry,2040,0.276
Pakistan,industry,2040,0.755
Russia,industry,2040,0.125
South Africa,industry,2040,0.342
South America_Northern,industry,2040,0.345
South America_Southern,industry,2040,0.613
South Asia,industry,2040,0.842
South Korea,industry,2040,0.141
Southeast Asia,industry,2040,0.458
Taiwan,industry,2040,0.075
Argentina,industry,2040,0.348
Colombia,industry,2040,0.828
USA,industry,2045,0.229
