#INPUT_TABLE
#Variable ID
#StubTechProd
#
region,supplysector,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,share.weight
USA,electricity,geothermal,geothermal,1975,0.0123264,1975,1,1
Africa_Eastern,electricity,geothermal,geothermal,1975,0,1975,0,0
Africa_Northern,electricity,geothermal,geothermal,1975,0,1975,0,0
Africa_Southern,electricity,geothermal,geothermal,1975,0,1975,0,0
Africa_Western,electricity,geothermal,geothermal,1975,0,1975,0,0
Australia_NZ,electricity,geothermal,geothermal,1975,0.00468,1975,1,1
Brazil,electricity,geothermal,geothermal,1975,0,1975,0,0
Canada,electricity,geothermal,geothermal,1975,0,1975,0,0
Central America and Caribbean,electricity,geothermal,geothermal,1975,0.0005976,1975,1,1
Central Asia,electricity,geothermal,geothermal,1975,0,1975,0,0
China,electricity,geothermal,geothermal,1975,0,1975,0,0
EU-12,electricity,geothermal,geothermal,1975,0,1975,0,0
EU-15,electricity,geothermal,geothermal,1975,0.0089388,1975,1,1
Europe_Eastern,electricity,geothermal,geothermal,1975,0,1975,0,0
Europe_Non_EU,electricity,geothermal,geothermal,1975,0,1975,0,0
European Free Trade Association,electricity,geothermal,geothermal,1975,6.48e-05,1975,1,1
India,electricity,geothermal,geothermal,1975,0,1975,0,0
Indonesia,electricity,geothermal,geothermal,1975,0,1975,0,0
Japan,electricity,geothermal,geothermal,1975,0.00036,1975,1,1
Mexico,electricity,geothermal,geothermal,1975,0.0018648,1975,1,1
Middle East,electricity,geothermal,geothermal,1975,0,1975,0,0
Pakistan,electricity,geothermal,geothermal,1975,0,1975,0,0
Russia,electricity,geothermal,geothermal,1975,0,1975,0,0
South Africa,electricity,geothermal,geothermal,1975,0,1975,0,0
South America_Northern,electricity,geothermal,geothermal,1975,0,1975,0,0
South America_Southern,electricity,geothermal,geothermal,1975,0,1975,0,0
South Asia,electricity,geothermal,geothermal,1975,0,1975,0,0
South Korea,electricity,geothermal,geothermal,1975,0,1975,0,0
Southeast Asia,electricity,geothermal,geothermal,1975,0,1975,0,0
