#INPUT_TABLE
#Variable ID
#SubsectorShrwt
#
region,supplysector,subsector,year,share.weight
USA,electricity,biomass,2100,1
Africa_Eastern,electricity,biomass,2100,1
Africa_Northern,electricity,biomass,2100,1
Africa_Southern,electricity,biomass,2100,1
Africa_Western,electricity,biomass,2100,1
Australia_NZ,electricity,biomass,2100,1
Brazil,electricity,biomass,2100,1
Canada,electricity,biomass,2100,1
Central America and Caribbean,electricity,biomass,2100,1
Central Asia,electricity,biomass,2100,1
China,electricity,biomass,2100,1
EU-12,electricity,biomass,2100,1
EU-15,electricity,biomass,2100,1
Europe_Eastern,electricity,biomass,2100,1
Europe_Non_EU,electricity,biomass,2100,1
European Free Trade Association,electricity,biomass,2100,1
India,electricity,biomass,2100,1
Indonesia,electricity,biomass,2100,1
Japan,electricity,biomass,2100,1
Mexico,electricity,biomass,2100,1
Middle East,electricity,biomass,2100,1
Pakistan,electricity,biomass,2100,1
Russia,electricity,biomass,2100,1
South Africa,electricity,biomass,2100,1
South America_Northern,electricity,biomass,2100,1
South America_Southern,electricity,biomass,2100,1
South Asia,electricity,biomass,2100,1
South Korea,electricity,biomass,2100,1
Southeast Asia,electricity,biomass,2100,1
Taiwan,electricity,biomass,2100,1
Argentina,electricity,biomass,2100,1
Colombia,electricity,biomass,2100,1
USA,electricity,geothermal,2100,1
Africa_Eastern,electricity,geothermal,2100,1
Africa_Northern,electricity,geothermal,2100,1
Africa_Southern,electricity,geothermal,2100,1
Africa_Western,electricity,geothermal,2100,1
Australia_NZ,electricity,geothermal,2100,1
Brazil,electricity,geothermal,2100,1
Canada,electricity,geothermal,2100,1
Central America and Caribbean,electricity,geothermal,2100,1
Central Asia,electricity,geothermal,2100,1
China,electricity,geothermal,2100,1
EU-12,electricity,geothermal,2100,1
EU-15,electricity,geothermal,2100,1
Europe_Eastern,electricity,geothermal,2100,1
Europe_Non_EU,electricity,geothermal,2100,1
European Free Trade Association,electricity,geothermal,2100,1
India,electricity,geothermal,2100,1
Indonesia,electricity,geothermal,2100,1
Japan,electricity,geothermal,2100,1
Mexico,electricity,geothermal,2100,1
Middle East,electricity,geothermal,2100,1
Pakistan,electricity,geothermal,2100,1
Russia,electricity,geothermal,2100,1
South Africa,electricity,geothermal,2100,1
South America_Northern,electricity,geothermal,2100,1
South America_Southern,electricity,geothermal,2100,1
South Asia,electricity,geothermal,2100,1
South Korea,electricity,geothermal,2100,0
Southeast Asia,electricity,geothermal,2100,1
Taiwan,electricity,geothermal,2100,1
Argentina,electricity,geothermal,2100,1
Colombia,electricity,geothermal,2100,1
USA,electricity,solar,2100,1
Africa_Eastern,electricity,solar,2100,1
Africa_Northern,electricity,solar,2100,1
Africa_Southern,electricity,solar,2100,1
Africa_Western,electricity,solar,2100,1
Australia_NZ,electricity,solar,2100,1
Brazil,electricity,solar,2100,1
Canada,electricity,solar,2100,1
Central America and Caribbean,electricity,solar,2100,1
Central Asia,electricity,solar,2100,1
China,electricity,solar,2100,1
EU-12,electricity,solar,2100,1
EU-15,electricity,solar,2100,1
Europe_Eastern,electricity,solar,2100,1
Europe_Non_EU,electricity,solar,2100,1
European Free Trade Association,electricity,solar,2100,1
India,electricity,solar,2100,1
Indonesia,electricity,solar,2100,1
Japan,electricity,solar,2100,1
Mexico,electricity,solar,2100,1
Middle East,electricity,solar,2100,1
Pakistan,electricity,solar,2100,1
Russia,electricity,solar,2100,1
South Africa,electricity,solar,2100,1
South America_Northern,electricity,solar,2100,1
South America_Southern,electricity,solar,2100,1
South Asia,electricity,solar,2100,1
South Korea,electricity,solar,2100,1
Southeast Asia,electricity,solar,2100,1
Taiwan,electricity,solar,2100,1
Argentina,electricity,solar,2100,1
Colombia,electricity,solar,2100,1
USA,electricity,wind,2100,1
Africa_Eastern,electricity,wind,2100,1
Africa_Northern,electricity,wind,2100,1
Africa_Southern,electricity,wind,2100,1
Africa_Western,electricity,wind,2100,1
Australia_NZ,electricity,wind,2100,1
Brazil,electricity,wind,2100,1
Canada,electricity,wind,2100,1
Central America and Caribbean,electricity,wind,2100,1
Central Asia,electricity,wind,2100,1
China,electricity,wind,2100,1
EU-12,electricity,wind,2100,1
EU-15,electricity,wind,2100,1
Europe_Eastern,electricity,wind,2100,1
Europe_Non_EU,electricity,wind,2100,1
European Free Trade Association,electricity,wind,2100,1
India,electricity,wind,2100,1
Indonesia,electricity,wind,2100,1
Japan,electricity,wind,2100,1
Mexico,electricity,wind,2100,1
Middle East,electricity,wind,2100,1
Pakistan,electricity,wind,2100,1
Russia,electricity,wind,2100,1
South Africa,electricity,wind,2100,1
South America_Northern,electricity,wind,2100,1
South America_Southern,electricity,wind,2100,1
South Asia,electricity,wind,2100,1
South Korea,electricity,wind,2100,1
Southeast Asia,electricity,wind,2100,1
Taiwan,electricity,wind,2100,1
Argentina,electricity,wind,2100,1
Colombia,electricity,wind,2100,1
