#INPUT_TABLE
#Variable ID
#Supplysector
#
region,energy.final.demand,year,price.elasticity
USA,industry,2015,-0.1
Africa_Eastern,industry,2015,-0.1
Africa_Northern,industry,2015,-0.1
Africa_Southern,industry,2015,-0.1
Africa_Western,industry,2015,-0.1
Australia_NZ,industry,2015,-0.1
Brazil,industry,2015,-0.1
Canada,industry,2015,-0.1
Central America and Caribbean,industry,2015,-0.1
Central Asia,industry,2015,-0.1
China,industry,2015,-0.1
EU-12,industry,2015,-0.1
EU-15,industry,2015,-0.1
Europe_Eastern,industry,2015,-0.1
Europe_Non_EU,industry,2015,-0.1
European Free Trade Association,industry,2015,-0.1
India,industry,2015,-0.1
Indonesia,industry,2015,-0.1
Japan,industry,2015,-0.1
Mexico,industry,2015,-0.1
Middle East,industry,2015,-0.1
Pakistan,industry,2015,-0.1
Russia,industry,2015,-0.1
South Africa,industry,2015,-0.1
South America_Northern,industry,2015,-0.1
South America_Southern,industry,2015,-0.1
South Asia,industry,2015,-0.1
South Korea,industry,2015,-0.1
Southeast Asia,industry,2015,-0.1
Taiwan,industry,2015,-0.1
Argentina,industry,2015,-0.1
Colombia,industry,2015,-0.1
USA,industry,2020,-0.1
Africa_Eastern,industry,2020,-0.1
Africa_Northern,industry,2020,-0.1
Africa_Southern,industry,2020,-0.1
Africa_Western,industry,2020,-0.1
Australia_NZ,industry,2020,-0.1
Brazil,industry,2020,-0.1
Canada,industry,2020,-0.1
Central America and Caribbean,industry,2020,-0.1
Central Asia,industry,2020,-0.1
China,industry,2020,-0.1
EU-12,industry,2020,-0.1
EU-15,industry,2020,-0.1
Europe_Eastern,industry,2020,-0.1
Europe_Non_EU,industry,2020,-0.1
European Free Trade Association,industry,2020,-0.1
India,industry,2020,-0.1
Indonesia,industry,2020,-0.1
Japan,industry,2020,-0.1
Mexico,industry,2020,-0.1
Middle East,industry,2020,-0.1
Pakistan,industry,2020,-0.1
Russia,industry,2020,-0.1
South Africa,industry,2020,-0.1
South America_Northern,industry,2020,-0.1
South America_Southern,industry,2020,-0.1
South Asia,industry,2020,-0.1
South Korea,industry,2020,-0.1
Southeast Asia,industry,2020,-0.1
Taiwan,industry,2020,-0.1
Argentina,industry,2020,-0.1
Colombia,industry,2020,-0.1
USA,industry,2025,-0.1
Africa_Eastern,industry,2025,-0.1
Africa_Northern,industry,2025,-0.1
Africa_Southern,industry,2025,-0.1
Africa_Western,industry,2025,-0.1
Australia_NZ,industry,2025,-0.1
Brazil,industry,2025,-0.1
Canada,industry,2025,-0.1
Central America and Caribbean,industry,2025,-0.1
Central Asia,industry,2025,-0.1
China,industry,2025,-0.1
EU-12,industry,2025,-0.1
EU-15,industry,2025,-0.1
Europe_Eastern,industry,2025,-0.1
Europe_Non_EU,industry,2025,-0.1
European Free Trade Association,industry,2025,-0.1
India,industry,2025,-0.1
Indonesia,industry,2025,-0.1
Japan,industry,2025,-0.1
Mexico,industry,2025,-0.1
Middle East,industry,2025,-0.1
Pakistan,industry,2025,-0.1
Russia,industry,2025,-0.1
South Africa,industry,2025,-0.1
South America_Northern,industry,2025,-0.1
South America_Southern,industry,2025,-0.1
South Asia,industry,2025,-0.1
South Korea,industry,2025,-0.1
Southeast Asia,industry,2025,-0.1
Taiwan,industry,2025,-0.1
Argentina,industry,2025,-0.1
Colombia,industry,2025,-0.1
USA,industry,2030,-0.1
