#INPUT_TABLE
#Variable ID
#Supplysector
#
region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent
USA,electricity,EJ,EJ,1975$/GJ,1975,-3
USA,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Africa_Eastern,electricity,EJ,EJ,1975$/GJ,1975,-3
Africa_Eastern,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Africa_Northern,electricity,EJ,EJ,1975$/GJ,1975,-3
Africa_Northern,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Africa_Southern,electricity,EJ,EJ,1975$/GJ,1975,-3
Africa_Southern,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Africa_Western,electricity,EJ,EJ,1975$/GJ,1975,-3
Africa_Western,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Australia_NZ,electricity,EJ,EJ,1975$/GJ,1975,-3
Australia_NZ,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Brazil,electricity,EJ,EJ,1975$/GJ,1975,-3
Brazil,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Canada,electricity,EJ,EJ,1975$/GJ,1975,-3
Canada,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Central America and Caribbean,electricity,EJ,EJ,1975$/GJ,1975,-3
Central America and Caribbean,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Central Asia,electricity,EJ,EJ,1975$/GJ,1975,-3
Central Asia,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
China,electricity,EJ,EJ,1975$/GJ,1975,-3
China,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
EU-12,electricity,EJ,EJ,1975$/GJ,1975,-3
EU-12,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
EU-15,electricity,EJ,EJ,1975$/GJ,1975,-3
EU-15,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Europe_Eastern,electricity,EJ,EJ,1975$/GJ,1975,-3
Europe_Eastern,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Europe_Non_EU,electricity,EJ,EJ,1975$/GJ,1975,-3
Europe_Non_EU,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
European Free Trade Association,electricity,EJ,EJ,1975$/GJ,1975,-3
European Free Trade Association,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
India,electricity,EJ,EJ,1975$/GJ,1975,-3
India,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Indonesia,electricity,EJ,EJ,1975$/GJ,1975,-3
Indonesia,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Japan,electricity,EJ,EJ,1975$/GJ,1975,-3
Japan,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Mexico,electricity,EJ,EJ,1975$/GJ,1975,-3
Mexico,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Middle East,electricity,EJ,EJ,1975$/GJ,1975,-3
Middle East,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Pakistan,electricity,EJ,EJ,1975$/GJ,1975,-3
Pakistan,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Russia,electricity,EJ,EJ,1975$/GJ,1975,-3
Russia,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
South Africa,electricity,EJ,EJ,1975$/GJ,1975,-3
South Africa,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
South America_Northern,electricity,EJ,EJ,1975$/GJ,1975,-3
South America_Northern,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
South America_Southern,electricity,EJ,EJ,1975$/GJ,1975,-3
South America_Southern,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
South Asia,electricity,EJ,EJ,1975$/GJ,1975,-3
South Asia,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
South Korea,electricity,EJ,EJ,1975$/GJ,1975,-3
South Korea,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Southeast Asia,electricity,EJ,EJ,1975$/GJ,1975,-3
Southeast Asia,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Taiwan,electricity,EJ,EJ,1975$/GJ,1975,-3
Taiwan,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Argentina,electricity,EJ,EJ,1975$/GJ,1975,-3
Argentina,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
Colombia,electricity,EJ,EJ,1975$/GJ,1975,-3
Colombia,elect_td_bld,EJ,EJ,1975$/GJ,1975,-6
